Designator,Mid X,Mid Y,Rotation,Layer
C1,118.75,-112.75,0.0,top
C10,111.25,-113.25,90.0,top
C100,135.7,-87.0,180.0,top
C101,128.0,-98.9,90.0,top
C102,135.7,-92.2,180.0,top
C103,120.7,-84.4,0.0,top
C104,118.92,-88.7,0.0,top
C105,121.4,-94.2,90.0,top
C106,131.139411,-96.939411,135.0,top
C107,131.4,-82.0,180.0,top
C108,128.2,-80.1,270.0,top
C109,118.92,-89.7,0.0,top
C11,105.25,-113.25,90.0,top
C110,135.5,-89.7,180.0,top
C111,126.3,-81.22,270.0,top
C112,123.6,-98.9,90.0,top
C113,124.6,-98.9,90.0,top
C114,122.22,-95.8,0.0,top
C115,235.5,-99.275,90.0,top
C116,242.75,-106.025,90.0,top
C12,143.57,-114.0,0.0,top
C13,143.57,-115.75,180.0,top
C14,141.295,-120.0,270.0,top
C15,142.295,-112.25,0.0,top
C16,134.795,-112.75,90.0,top
C17,134.795,-119.25,180.0,top
C18,128.795,-112.75,90.0,top
C19,131.295,-120.25,90.0,top
C2,128.1,-78.5,180.0,top
C20,167.775,-114.0,0.0,top
C21,167.775,-115.75,180.0,top
C22,165.5,-120.0,270.0,top
C23,166.5,-112.25,0.0,top
C24,159.0,-112.75,90.0,top
C25,159.0,-119.25,180.0,top
C26,153.0,-112.75,90.0,top
C27,155.5,-120.25,90.0,top
C28,190.275,-113.5,0.0,top
C29,190.275,-115.25,180.0,top
C3,137.2,-103.72,270.0,top
C30,188.0,-119.5,270.0,top
C31,189.0,-111.75,0.0,top
C32,181.5,-112.25,90.0,top
C33,181.5,-118.75,180.0,top
C34,175.5,-112.25,90.0,top
C35,178.0,-119.75,90.0,top
C36,212.23,-114.25,0.0,top
C37,212.23,-116.0,180.0,top
C38,209.955,-120.25,270.0,top
C39,210.955,-112.5,0.0,top
C4,125.377,-72.7,90.0,top
C40,203.455,-113.0,90.0,top
C41,203.455,-119.5,180.0,top
C42,197.455,-113.0,90.0,top
C43,199.955,-120.5,90.0,top
C44,235.525,-114.401,0.0,top
C45,235.525,-116.151,180.0,top
C46,233.25,-120.401,270.0,top
C47,234.25,-112.651,0.0,top
C48,226.75,-113.151,90.0,top
C49,226.75,-119.651,180.0,top
C5,120.025,-116.25,180.0,top
C50,220.75,-113.151,90.0,top
C51,223.25,-120.651,90.0,top
C52,222.59,-66.5,180.0,top
C53,222.59,-64.75,0.0,top
C54,224.865,-60.5,90.0,top
C55,223.865,-68.25,180.0,top
C56,231.365,-67.75,270.0,top
C57,231.365,-61.25,0.0,top
C58,237.365,-67.75,270.0,top
C59,234.865,-60.25,270.0,top
C6,117.75,-120.5,270.0,top
C60,198.34,-66.475,180.0,top
C61,198.34,-64.725,0.0,top
C62,200.615,-60.475,90.0,top
C63,199.615,-68.225,180.0,top
C64,207.115,-67.725,270.0,top
